"comparison","direct","indirect","diff","p"
"GLP-1RA:GLP-1RA + Metformin",NA,0.172009984362556,NA,NA
"GLP-1RA:Metformin",0.549837989323019,NA,NA,NA
"GLP-1RA + Metformin:Metformin",0.377828004960462,NA,NA,NA
