"excluded","tau2","I2_pct"
"PMID_40713699",0.2285,72
"PMID_36060969",0.2098,71.9
"PMID_26032655",0.0494,42.9
"PMID_34281590",0.1001,55.1
"Wang_2017",0.0494,42.9
