"","GLP-1RA","GLP-1RA + Metformin","Metformin"
"GLP-1RA","GLP-1RA",".","0.59 [ 0.05;  1.12]"
"GLP-1RA + Metformin","0.53 [-0.23;  1.28]","GLP-1RA + Metformin","0.06 [-0.47;  0.60]"
"Metformin","0.59 [ 0.05;  1.12]","0.06 [-0.47;  0.60]","Metformin"
