"excluded","tau2","I2_pct"
"PMID_40713699",0.1912,80.1
"PMID_35829765",0,0
"PMID_36060969",0.1912,80.1
"PMID_26032655",0.1028,72.1
"Zheng_2017",0.1885,77.6
"Wang_2017",0.1782,76.4
