"comparison","direct","indirect","diff","p"
"GLP-1RA:GLP-1RA + Metformin",NA,0.0829603074096625,NA,NA
"GLP-1RA:Metformin",0.300686151815171,NA,NA,NA
"GLP-1RA + Metformin:Metformin",0.217725844405508,NA,NA,NA
