"","GLP-1RA","GLP-1RA + Metformin","Metformin"
"GLP-1RA","GLP-1RA",".","0.30 [-0.13; 0.73]"
"GLP-1RA + Metformin","0.08 [-0.67; 0.83]","GLP-1RA + Metformin","0.22 [-0.39; 0.83]"
"Metformin","0.30 [-0.13; 0.73]","0.22 [-0.39; 0.83]","Metformin"
