"excluded","tau2","I2_pct"
"PMID_40713699",0,0
"PMID_36060969",0,0
"PMID_26032655",0,0
"EPMC_37347114",0,0
"PMID_34281590",0,0
"PMID_35829765",0,0
"Zheng_2017",0,0
"Wang_2017",0,0
