"","GLP-1RA + Metformin","GLP-1RA","Metformin","Placebo"
"GLP-1RA + Metformin","GLP-1RA + Metformin","0.49 [-0.33; 1.31]","0.44 [-0.06; 0.94]","."
"GLP-1RA","0.29 [-0.25; 0.83]","GLP-1RA","0.14 [-0.31; 0.58]","0.34 [-0.26; 0.94]"
"Metformin","0.36 [-0.10; 0.82]","0.07 [-0.34; 0.49]","Metformin","."
"Placebo","0.63 [-0.18; 1.44]","0.34 [-0.26; 0.94]","0.27 [-0.46; 1.00]","Placebo"
