"comparison","direct","indirect","diff","p"
"GLP-1RA:GLP-1RA + Metformin",-0.654615,0.604230908484602,-1.2588459084846,0.050900746636739
"GLP-1RA:Metformin",0.591765900469879,-1.50526346760188,2.09702936807176,0.0331868137383115
"GLP-1RA:Placebo",4.129546,NA,NA,NA
"GLP-1RA + Metformin:Metformin",0.407195686803071,1.58335847856218,-1.17616279175911,0.352160807564362
"GLP-1RA + Metformin:Placebo",NA,4.17129706478656,NA,NA
"Placebo:Metformin",NA,-3.72873721932949,NA,NA
