"","GLP-1RA + Metformin","GLP-1RA","Metformin","Placebo"
"GLP-1RA + Metformin","GLP-1RA + Metformin","0.65 [-0.23;  1.54]","0.41 [-0.02;  0.84]","."
"GLP-1RA","0.04 [-0.59;  0.67]","GLP-1RA","0.59 [ 0.01;  1.17]","4.13 [ 3.24;  5.02]"
"Metformin","0.44 [ 0.02;  0.87]","0.40 [-0.15;  0.96]","Metformin","."
"Placebo","4.17 [ 3.08;  5.26]","4.13 [ 3.24;  5.02]","3.73 [ 2.68;  4.77]","Placebo"
