"comparison","direct","indirect","diff","p"
"GLP-1RA:GLP-1RA + Metformin",-0.789958841509107,-0.164160159296288,-0.625798682212819,0.33677455584206
"GLP-1RA:Metformin",0.315520097850691,-0.58264768244552,0.898167780296212,0.215168809845272
"GLP-1RA:Placebo",0.242803999113653,NA,NA,NA
"GLP-1RA + Metformin:Metformin",0.604338780766083,0.621579645636816,-0.0172408648707322,0.981665516982538
"GLP-1RA + Metformin:Placebo",NA,0.68299044171864,NA,NA
"Placebo:Metformin",NA,-0.0763965004282338,NA,NA
